Cond,FAU,SPRY4,BCL3,AC007387_2,HEXIM1,CATG00000024278_1,GRPEL1,IREB2,CTB_55O6_10,CATG00000000897_1,NFIL3,PHF23,FBF1,CXXC5,CATG00000034361_1,TP53RK,AC027119_1,LINC00311,CDKN1A,SREBF1,PPARGC1B,BHLHE41,RNVU1_14,RNU2_38P,PDK4,CSRNP2,GUCY2GP,FGF10,HMGCR,FAM154A,RP11_177F15_1,RP11_787P24_1,CTD_3065J16_9,RP11_520H14_1,PASK,LDLR,PRICKLE1,RNU12,RP11_486M23_1,AC002511_3,AIG1,TSPAN8,C15orf39,CATG00000072417_1,C19orf80,MSMO1,DNAJA1,STAT5A,RPUSD1,SULT1C2,SNAI2,HES1,ALG2,TECTB,AACS,CATG00000027865_1,RNU2_6P,HELB,IDI1,DNLZ,CATG00000008210_1,GADD45A,RP13_1039J1_2,RIMBP3B,FREM2,RREB1,PSMD5,KLC2,CLDN4,TTC25,HSPH1,FFAR4,TIPRL,NANP,DDX47,CP,METTL1,UTP11L,FAM222A,C11orf53,TRIM35,THRSP,KCNK5,GFOD1,FABP3,HLA_DOA,TPX2,TMEM70,RP11_204L24_2,QRICH2,DUSP6,CCDC85C,EGLN3,C14orf28,RP11_699L21_1,ID2,RRP1B,RP3_406P24_3,AC004158_2,RIOK1,SLC25A21_AS1,TTL,NHLRC4,RP5_1136G13_2,CNTFR,NELFA,NPC1,NRXN3,CATG00000086393_1,ZNF442,CATG00000106133_1,CATG00000038824_1,FHOD1,AP1S3,KCNE1,CHADL,RP1_15D23_2,TMC1,ZNF620,PER1,RP11_326I11_4,RP11_7F17_3,NBPF10,ST3GAL1,DUSP14,STT3A_AS1,WEE1,PRPF38AP2,RP11_93L9_1,R3HDM1,PLS1,TRIM29,IER2,GRAMD4,LARP4,SHC2,RP11_442N24__B_1,GEN1,CBX4,TOR3A,PPRC1,AC104809_2,LINC01023,BHLHE40,ADAMTS1,CITED2,FGD6,CATG00000084124_1,ZBTB16,AC006481_1,AC018804_7,RRS1,TNFRSF18,UTP15,ANGPTL2,PFKFB3,LRP8,PAX8,MPZL1,NOP2,G3BP1,DIO2,GOLGA1,CLDND2,RARG,MCFD2,MTF1,INTS7,STIP1,RAB21,CATG00000056402_1,RNU5F_1,PLEKHO2,EMCN,CARS,NR1D1,PDLIM4,MESDC1,RP11_1136G11_6,CBWD3,PRPF40B,PPFIBP2,GLIS2,CEBPG,TSPAN14,CHAC1,SEMA7A,C5orf27,IL6R,TBX3,GEM,KLHL18,CYP2D6,SENP3_EIF4A1,RAB3IL1,MAPT,PLEKHG4,CCL23,AP000476_1,RP11_834C11_12,Class_,Patnr,CV_Split
NO101f2,83.0,4.483333333333333,4.264666666666667,0.0,49.3735,0.0,63.644,83.0,0.656,0.0,2.2965,6.7250000000000005,0.0,4.7565,0.0,3.281,0.0,0.0,15.00875,34.33733333333333,7.873666666666666,22.308333333333334,5.905,1.312,138.88000000000002,41.992,0.0,0.0,3.609,0.0,1.312,0.0,0.0,0.0,0.0,1.64,0.656,1.968,0.656,0.0,83.0,0.0,7.7095,0.0,48.881,9.186,50.522,4.4697499999999994,0.0,0.0,19.684,42.648,55.771,0.0,10.498,0.0,0.0,0.0,27.064999999999998,0.0,0.0,14.024750000000001,0.0,0.0,348.403,5.5112000000000005,83.0,3.9365,0.0,0.0,42.648,14.762666666666666,41.992,6.561,83.0,0.0,9.186,115.478,0.0,0.0,71.518,1.5527333333333329,0.328,3.4996666666666663,0.0,0.0,3.7725,4.4285,1.312,0.0,29.416500000000003,0.0,0.0,51.178,0.0,6.889,8.0375,0.0,0.0,6.889,11.482,0.0,0.0,0.0,7.920285714285713,35.759,6.561,0.0,0.984,0.656,0.0,0.0,30.345499999999998,0.0,0.328,0.0,0.0,0.0,0.0,36.82525,7.545,13.451,0.0,20.996,42.812,0.0,0.0,2.625,0.0,16.731,0.0,0.0,47.241,3.77275,12.794,0.0,1.64,3.4445,41.008,33.134,35.103,0.0,0.0,1.8590000000000002,3.7725,329.8675,1.148,0.328,37.39925000000001,2.296,0.0,16.075,0.0,41.992,154.1894,38.60216666666667,0.656,0.0,157.142,9.842,407.782,0.0,33.791,3.937,8.748333333333333,92.514,62.332,21.98,163.375,131.7175,0.0,0.0,103.34,332.0,28.541,106.621,0.656,6.451666666666665,44.289,83.0,0.0,7.1518,20.996,7.3815,25.479333333333333,0.984,0.0,0.492,5.5112,18.808999999999997,0.0,17.387,0.0,104.324,15.091,3.171,0.0,0.0,0.0,5.937799999999999,0.0,NO101,0.0
NO101h2,78.981,15.823666666666668,12.822333333333333,4.502,79.3905,1.637,113.766,56.883,5.729,1.228,8.7985,14.118,2.865,12.072,1.637,6.138,4.092,6.138,39.081250000000004,124.67899999999999,19.097333333333335,51.15366666666667,22.098,4.911,48.834666666666664,82.255,1.637,0.409,6.138,0.0,3.683,0.0,0.818,1.228,0.818,17.597,3.137333333333333,8.594,8.594,0.409,81.30033333333334,2.455,21.4845,0.818,457.519,21.689,54.01833333333334,8.849499999999999,0.409,0.0,22.780333333333335,69.16,66.295,4.092,37.649,3.683,0.818,1.637,43.3785,1.637,0.409,33.1475,0.818,2.2504999999999997,323.292,9.575999999999999,89.621,9.8215,0.0,1.228,54.428,29.874,47.471,12.686,80.618,0.409,13.914,160.418,1.637,0.818,85.12,6.738666666666668,2.046,4.910666666666667,2.865,0.818,5.32,13.3,4.911,0.0,55.17783333333333,0.0,0.818,38.877,3.274,20.052,27.4185,0.409,0.0,14.732,5.729,0.409,0.0,1.228,14.557,22.917,19.4385,1.023,4.9105,5.32,0.409,1.637,44.401500000000006,0.818,3.683,0.818,0.0,1.637,0.409,14.016250000000001,6.138,5.729,0.409,39.286,89.212,1.637,1.637,4.911,0.409,38.468,0.409,1.228,52.3815,7.468500000000001,15.96,0.409,20.052,6.1385,59.338,47.471,44.197,4.092,1.637,15.277666666666667,7.571,225.89499999999998,2.4555,1.637,13.3,2.455,0.409,16.369,0.409,42.151,203.6328,22.23466666666667,5.32,0.0,215.255,15.551,471.433,1.637,42.969,4.911,9.957666666666666,96.988,78.981,21.689,180.47,125.838,1.228,3.274,135.455,327.384,66.705,41.741,0.0,5.865333333333333,66.295,93.714,0.409,8.4302,24.963,11.049,28.71416666666667,9.003,1.228,3.888,7.366200000000001,23.189666666666668,0.409,20.871,0.0,135.046,22.508,6.411333333333334,0.409,0.818,2.455,8.593999999999998,1.0,NO101,0.0
NO108f2,83.984,3.0850000000000004,5.142,0.0,29.9945,0.343,52.79,68.215,0.0,0.343,5.827500000000001,6.513,0.343,2.9135,1.028,7.541,1.028,0.0,19.1105,41.82033333333334,6.398666666666666,25.595333333333333,5.485,2.4,215.61566666666667,25.024,2.4,0.0,0.686,0.686,2.742,1.371,1.371,2.057,0.343,5.142,0.6856666666666666,0.343,2.057,4.113,71.30066666666666,1.371,3.771,1.714,16.454,4.113,43.077666666666666,1.7568750000000002,0.686,1.028,13.711666666666666,29.823,53.133,0.0,2.742,0.0,0.686,1.714,14.9115,0.0,0.0,11.397749999999998,1.028,0.6855,498.076,5.279,60.674,5.6565,0.686,0.343,33.594,10.284,36.679,9.598,100.095,1.714,10.627,102.152,0.343,0.343,52.447,0.5942000000000001,0.0,2.7423333333333333,0.686,0.686,5.141500000000001,2.9135,2.742,0.0,16.79666666666667,1.714,0.0,47.305,1.714,11.655,3.2565,1.371,1.371,10.284,14.397,1.028,0.343,0.0,8.618714285714287,35.993,7.7125,3.428,0.5145000000000001,1.371,0.343,0.686,24.5095,0.686,1.028,0.686,1.371,3.428,0.0,21.338749999999997,7.884,15.768,0.686,39.764,39.7635,2.4,1.371,4.456,1.714,17.482,3.085,0.686,33.5935,2.7425,11.655,1.714,5.142,2.0564999999999998,21.253,27.766,25.024,0.0,0.686,2.057,5.313000000000001,551.38,1.0285,0.0,26.309,1.028,0.0,13.369,0.686,35.993,136.70499999999998,46.334,1.714,0.857,101.123,14.054,284.517,0.686,28.109,8.57,9.597999999999999,109.35,50.048,28.109,149.114,120.66250000000001,0.0,0.686,39.078,210.817,33.936,43.535,0.686,8.569666666666665,47.305,54.504,0.343,4.1136,14.74,7.713,25.93799999999999,0.0,0.686,0.1715,6.0334,21.939000000000004,0.0,12.34,0.0,75.071,10.284,3.656333333333333,0.0,1.714,1.714,4.3533,0.0,NO108,1.0
NO108h2,49.157,12.833333333333334,23.08866666666667,1.719,100.634,1.031,88.86,57.407,4.297,0.859,13.664499999999999,16.93,1.031,10.914499999999999,4.297,6.359,7.563,1.375,55.94575,140.36599999999999,12.317999999999998,53.96933333333333,12.891,7.563,96.53766666666667,48.985,1.375,0.344,4.125,2.922,9.281,1.375,1.203,2.578,0.0,23.891,3.4376666666666664,7.391,10.484,3.094,77.459,2.578,27.758,4.641,281.362,14.953,50.64633333333333,3.6523749999999997,1.547,1.891,19.365,68.407,81.813,3.609,17.36,0.859,2.578,2.234,31.2815,1.547,0.859,26.426,1.891,0.9455,265.549,7.012600000000001,94.017,8.336,0.516,0.688,48.469,20.567666666666664,54.141,22.344,93.673,3.438,18.906,131.314,1.203,0.172,112.579,3.597933333333333,1.891,7.333333333333333,0.859,0.344,6.789,5.93,6.188,0.516,49.12816666666666,1.547,1.203,34.375,1.547,17.875,14.7815,0.859,0.859,8.422,5.156,1.719,0.516,1.547,14.216714285714287,22.516,17.274,4.469,1.5470000000000002,3.953,2.75,1.375,49.500499999999995,0.859,3.609,2.234,1.203,2.75,0.688,14.437750000000001,6.016,11.688,0.688,56.032,103.2115,2.063,0.516,7.563,2.234,35.578,1.719,0.516,91.352,4.8985,18.906,3.266,23.031,4.383,83.704,38.157,45.891,0.516,0.688,9.338999999999999,15.383,381.1365,3.0940000000000003,2.063,19.20725,10.484,1.719,16.844,0.688,43.141,181.7766,44.48733333333334,2.234,1.0314999999999999,220.346,20.281,425.223,0.688,36.61,5.672,13.922333333333333,117.907,63.766,35.235,205.221,140.3375,0.344,1.719,139.564,214.502,44.172,15.297,2.234,10.37,105.36,82.845,0.859,5.4314,36.953,15.8125,27.987166666666667,5.844,0.859,0.9455,8.353399999999999,32.599,1.719,18.906,0.0,164.486,26.469,6.989666666666666,0.859,0.344,1.547,9.5221,1.0,NO108,1.0
NO117f2,127.818,3.6613333333333333,5.492,0.0,15.977,0.0,57.418,95.364,0.0,0.0,4.244,4.244,0.499,2.247,0.0,1.498,2.496,0.0,19.222749999999998,50.59433333333334,4.826333333333333,27.127666666666666,9.486,1.997,312.3876666666667,26.962,0.0,1.498,1.997,1.498,1.498,0.0,1.498,1.498,0.0,4.993,2.163666666666667,1.997,2.496,1.997,52.425333333333334,4.494,2.746,0.499,34.451,8.488,38.94433333333333,2.30925,0.0,1.498,26.462333333333333,24.964,66.905,0.499,4.993,0.0,0.499,5.991,27.4605,0.0,0.0,18.973,0.999,0.0,540.229,5.1926,77.889,1.498,0.0,0.0,18.973,7.988666666666666,35.949,4.494,115.835,3.495,9.986,121.826,0.0,1.498,55.92,2.563066666666666,0.499,2.996,0.0,0.0,2.746,2.7464999999999997,2.996,0.0,33.452333333333335,0.999,0.499,60.913,0.0,5.991,3.495,0.499,3.495,6.491,29.458,0.999,0.499,0.999,9.628857142857143,35.949,5.2425,0.2495,1.498,1.997,0.999,0.999,31.9545,0.999,0.499,0.499,3.495,2.496,1.498,56.54475,4.993,25.963,1.498,43.438,18.4735,1.498,0.999,2.496,2.996,13.481,0.0,0.0,33.702,2.122,7.489,0.0,5.492,2.247,23.467,23.467,23.467,0.0,0.499,2.1636666666666664,2.4964999999999997,644.081,0.0,0.499,52.3005,5.991,0.999,10.485,0.499,24.964,111.74060000000001,62.66049999999999,1.498,2.746,103.353,6.491,285.592,0.499,37.447,6.99,5.658333333333332,111.341,44.936,20.97,129.315,119.33,0.999,2.496,16.476,272.611,27.461,83.88,0.999,8.821,49.929,47.432,0.499,4.693199999999999,4.993,5.4925,30.78933333333333,0.0,0.0,0.2495,5.7918,24.298666666666662,0.499,7.989,0.999,117.832,14.979,1.997,0.0,1.498,0.999,5.8416999999999994,0.0,NO117,2.0
NO117h2,62.22,20.74,25.052333333333333,5.134,82.96,1.643,76.184,63.247,3.08,0.821,15.709,21.5615,0.0,12.937,3.286,11.294,9.857,4.723,95.17875000000001,135.39266666666666,11.978666666666667,77.68966666666667,22.383,10.883,81.45466666666665,56.471,2.259,3.08,8.625,3.696,14.99,0.411,0.411,2.464,0.205,21.972,4.175666666666666,13.348,18.276,2.464,42.507,2.464,20.432,5.134,805.989,42.302,70.84466666666667,4.979749999999999,0.205,1.848,46.27166666666667,67.149,85.014,4.928,23.615,1.848,3.08,4.723,52.158500000000004,1.027,0.616,48.77,0.616,2.1559999999999997,316.851,9.569199999999999,67.765,34.088,0.205,2.67,40.659,20.055666666666667,40.659,10.267,117.664,0.616,21.561,174.34,0.821,1.232,88.915,11.321533333333333,4.107,7.3243333333333345,0.411,0.821,8.6245,9.6515,8.009,2.259,54.896166666666666,0.411,2.67,38.195,1.232,10.473,9.035,0.411,2.053,11.089,9.035,0.821,0.821,0.0,11.23557142857143,19.508,15.093,0.4105,6.6739999999999995,6.16,1.643,0.821,52.056,2.053,10.267,0.205,2.259,1.232,1.232,18.6865,2.67,17.044,1.232,77.621,52.466499999999996,0.616,1.027,13.348,1.437,21.561,0.205,1.232,120.94999999999999,8.0085,18.687,0.205,27.517,3.08,40.453,22.999,35.32,4.928,1.437,15.674999999999999,3.388,151.341,2.156,2.464,12.526250000000001,11.91,1.232,18.071,0.411,43.123,169.2884,18.72083333333333,10.678,1.4375,134.092,19.303,362.438,0.411,25.258,2.67,17.249333333333333,135.94,79.264,43.739,164.894,165.202,8.009,7.393,74.747,271.264,75.568,32.445,2.259,19.644666666666666,84.398,47.846,0.0,5.5852,27.722,10.1645,39.25566666666666,57.497,1.437,2.567,8.5012,59.619,0.205,19.303,0.411,154.627,35.525,4.6546666666666665,0.411,1.437,2.259,9.0557,1.0,NO117,2.0
NO121f2,52.761,12.238333333333335,23.470333333333333,2.737,48.32449999999999,1.321,64.276,68.712,5.097,1.51,2.7840000000000003,17.8385,0.849,15.809000000000001,2.454,9.627,7.551,9.061,44.832499999999996,136.88833333333332,8.463,45.24166666666667,13.497,10.477,81.48533333333334,43.889,2.454,0.189,2.454,5.191,12.459,1.699,1.416,4.153,1.321,10.571,2.4853333333333336,7.456,10.099,3.02,83.75033333333333,1.793,22.605,2.36,172.062,12.459,48.230333333333334,4.36525,0.566,1.793,24.602666666666668,75.885,51.723,1.888,16.517,6.984,4.814,1.038,25.294999999999998,0.849,0.755,21.259999999999998,0.661,3.964,27.655,5.2856,74.564,20.953500000000002,2.36,2.832,37.471,16.611666666666668,47.287,11.043,100.519,1.133,25.861,154.318,1.038,2.36,108.919,3.2973333333333334,1.699,8.148666666666667,0.472,1.133,7.881,7.9755,10.382,3.209,42.1425,1.888,1.133,38.981,1.133,8.4,8.9195,0.944,1.416,4.53,10.005,0.189,0.944,0.849,8.953142857142858,25.767,15.998000000000001,1.1795,5.9465,4.342,0.944,1.133,62.105000000000004,0.472,1.699,0.472,1.793,0.755,0.755,25.247750000000003,6.984,11.609,2.36,50.684,104.0115,0.849,1.038,10.76,1.133,22.275,1.416,2.737,142.33100000000002,5.568499999999999,8.872,1.038,25.673,3.8225,51.911,34.733,41.057,18.122,0.944,9.752666666666668,4.1055,248.797,3.2089999999999996,3.775,10.24075,11.043,1.416,11.232,1.321,52.383,247.49439999999998,52.839499999999994,3.964,0.9435,141.293,20.765,427.938,0.661,28.032,3.398,16.171333333333333,115.715,66.635,31.524,167.721,147.617,3.681,11.704,190.656,200.567,66.163,65.314,5.569,17.429666666666666,52.478,60.028,0.849,4.9643999999999995,55.498,9.202499999999999,37.3135,90.231,3.87,0.8494999999999999,8.721,32.971333333333334,0.283,19.821,0.378,90.326,27.56,6.261,0.661,0.944,1.321,8.825,0.0,NO121,0.0
NO121h2,62.01,19.005333333333333,16.508333333333333,6.243,104.4605,2.497,109.454,71.998,2.913,2.497,17.6875,17.4795,1.665,24.9705,0.832,11.653,9.156,7.075,80.426,155.78833333333333,19.837666666666667,66.86566666666667,21.641,6.243,76.02166666666666,84.484,0.416,0.416,4.578,3.746,9.572,0.0,0.832,3.329,2.081,26.635,4.300666666666667,9.156,12.069,2.497,92.53000000000002,2.081,32.253499999999995,2.497,671.292,24.971,68.39133333333334,6.918875,2.081,0.416,23.86066666666667,42.866,90.31,4.994,26.635,3.329,1.249,2.081,45.363,0.832,2.497,45.46724999999999,0.0,7.4915,211.001,7.324599999999999,99.05,40.5775,1.665,1.665,50.357,37.73366666666667,58.681,14.982,107.79,0.832,19.56,162.725,2.081,1.665,111.951,7.075066666666667,1.665,8.323333333333332,0.0,0.416,6.2425,10.821,9.572,2.081,49.24766666666667,2.081,1.665,34.959,1.249,17.479,26.2195,2.081,0.416,12.069,10.821,0.416,0.416,1.665,14.863428571428573,23.722,32.878,0.0,7.075,5.826,2.913,0.832,57.6405,0.0,11.653,1.249,1.665,0.0,0.416,15.814499999999999,4.994,8.324,2.081,69.085,131.7195,0.832,0.416,9.988,0.832,42.034,0.416,2.913,88.4375,12.58925,10.821,2.081,31.629,4.786,49.109,44.115,42.45,5.41,0.416,21.78,8.1155,286.32899999999995,2.2889999999999997,1.249,11.75725,8.74,1.665,14.982,0.0,53.271,239.218,35.02816666666667,1.249,2.497,206.423,17.479,423.667,0.416,26.219,3.746,13.040333333333336,132.76,69.501,42.034,161.06,173.1295,3.746,1.665,160.228,152.32,86.565,20.393,3.329,14.843666666666666,77.409,80.322,0.416,5.9098,50.773,12.277,35.513666666666666,121.107,7.907,3.7460000000000004,9.572,41.20166666666666,0.416,23.722,2.497,143.581,32.046,4.994,1.249,0.832,2.081,7.1167,1.0,NO121,0.0
NO125f2,32.113,4.448333333333333,3.614666666666667,0.0,32.738,0.417,62.14,65.893,0.0,0.417,3.7535,5.63,0.834,4.796,0.0,4.588,0.417,0.0,17.7245,39.75833333333333,8.063,37.812000000000005,4.17,0.834,228.81866666666667,42.539,0.0,2.085,3.336,0.834,1.668,1.251,0.0,0.417,0.0,3.753,2.919333333333333,0.834,1.668,2.085,76.87533333333333,0.834,3.1279999999999997,0.0,7.924,5.839,58.803333333333335,4.2745,0.417,3.336,19.740333333333332,35.866,63.808,0.0,5.839,0.417,1.251,1.668,16.89,1.251,0.834,20.43525,1.251,0.0,416.211,5.838399999999999,91.333,7.298,1.668,0.417,26.691,9.731,38.785,8.341,90.499,1.668,13.763,155.558,0.417,2.085,60.889,0.8895999999999998,0.0,3.0583333333333336,0.0,1.668,2.2935,4.796,2.502,0.0,18.558333333333334,0.834,0.417,60.055,0.417,4.588,5.004499999999999,0.0,0.417,12.928,15.848,0.417,0.417,1.251,11.260000000000002,35.866,7.09,0.417,1.4595,3.753,0.417,4.17,38.1595,0.0,0.0,0.0,7.507,0.417,1.251,47.3345,9.592,16.682,2.085,37.117,39.4105,1.251,2.085,0.0,2.085,15.431,0.417,0.417,66.5185,1.251,8.758,1.251,2.919,2.711,20.018,32.53,37.951,0.0,0.417,2.0853333333333333,4.5874999999999995,526.3115,0.834,0.0,33.78075,2.919,1.251,10.426,2.085,47.543,248.3924,44.554333333333325,2.085,0.6255,148.885,13.763,369.502,0.0,39.619,4.588,11.26,95.92,78.822,28.359,143.047,180.164,1.668,1.668,57.135,389.938,50.88,121.36,0.417,12.650333333333334,61.306,93.001,2.085,5.255,28.776,6.2555,30.861166666666673,0.834,1.251,0.417,5.505,33.08533333333333,1.251,12.928,0.0,126.782,9.175,2.641,0.0,0.417,2.919,6.2556,0.0,NO125,1.0
NO125h2,18.577,14.406666666666666,17.81866666666667,3.791,119.992,1.137,93.643,69.379,4.17,1.516,16.492,18.956,0.379,14.786,0.758,12.132,4.549,2.275,57.342,93.01100000000001,13.901000000000002,90.10433333333333,13.269,4.549,46.25266666666667,97.434,3.033,1.896,4.929,1.137,4.929,0.0,0.0,1.137,1.137,34.879,5.307333333333333,4.17,7.582,0.0,76.96166666666667,3.033,12.7005,0.758,284.72,18.956,105.26933333333334,5.402500000000001,0.758,1.137,28.686999999999998,66.725,109.566,4.549,14.027,0.379,2.654,6.066,38.4805,1.137,1.137,42.74575000000001,0.379,0.379,197.901,6.9758,103.879,38.86,0.379,1.137,50.423,21.736,58.385,12.132,96.297,1.516,18.198,208.896,0.379,0.0,105.016,4.7516,0.758,3.5386666666666664,1.137,0.0,5.118,7.393,4.549,0.758,74.49716666666667,0.379,1.896,45.115,1.896,10.615,13.4585,1.516,0.379,14.786,9.478,0.758,0.0,0.758,16.35614285714286,23.885,16.871000000000002,1.327,7.772,6.445,2.654,3.033,53.456,0.0,6.066,0.379,4.17,2.275,2.654,8.8145,4.17,5.687,0.0,49.665,88.525,1.137,0.758,6.066,6.824,26.159,0.0,0.379,97.813,4.83375,20.093,0.758,10.995,3.791,69.0,38.291,58.385,0.0,2.654,14.533,6.445,323.5795,2.8434999999999997,1.516,7.0135000000000005,4.549,1.516,15.165,0.0,57.247,337.56919999999997,11.247166666666667,5.687,1.1375,231.264,23.126,559.962,2.654,45.874,4.929,22.241666666666664,139.137,105.775,43.22,238.846,204.1565,4.549,5.687,111.082,281.687,56.868,28.813,0.758,12.258333333333333,79.995,88.714,0.758,7.582599999999999,73.929,7.203,33.61516666666667,11.753,1.137,2.275,9.250399999999999,49.41233333333333,0.379,20.093,0.0,158.473,23.126,4.549333333333333,0.379,1.896,5.687,10.5395,1.0,NO125,1.0
